order,card_id,type,adobe_preset,stock_keywords,preferred_png,fallback_png
0,01_hook,cover,Cinematic educational title slide,dinosaur jungle | prehistoric adventure | cinematic explorer kids | evidence | route | review | zip,01_hook.png,00_01_hook.png
1,02_pain,mission_brief,Explorer journal mission briefing slide,field journal texture | explorer map | dinosaur island landscape | evidence | route | review | zip,02_pain.png,01_02_pain.png
2,03_workflow,mission_brief,Explorer journal mission briefing slide,field journal texture | explorer map | dinosaur island landscape | evidence | route | review | zip,03_workflow.png,02_03_workflow.png
3,04_promise,question_card,Bold quiz question slide with four answer rows,museum exhibit background | science infographic texture | dinosaur fossil pattern | evidence | route | review | zip,04_promise.png,03_04_promise.png
4,05_boundary,question_card,Bold quiz question slide with four answer rows,museum exhibit background | science infographic texture | dinosaur fossil pattern | evidence | route | review | zip,05_boundary.png,04_05_boundary.png
5,06_cta,answer_card,Answer reveal slide with fact callout,dinosaur skeleton exhibit | science badge | discovery celebration | evidence | route | review | zip,06_cta.png,05_06_cta.png
